Feature combination,Source,Experiment,Total
SVM KD17,BioPlex 1.0,AP-MS,9
SVM KD17,"Hein et al., 2015",AP-MS,4
SVM KD17,"Wan et al., 2015",CF-MS,220
SVM KD17,"Drew et al., 2017",AP-MS,4
SVM KD17,HumanNet 2011,Multi-'omics,19
SVM KD17,"Malovannaya et al., 2011",AP-MS (MEMO),1
SVM KD17,"Guruharsha et al., 2011",AP-MS,1
RF LM,"Lugo-Martinez et al., 2019",AP-MS,4
RF LM,Human Protein Atlas (v19.3),Fluorescent microscopy,4
RF LM,NCI-60 Human Tumor Cell Lines Screen,"Gene-, protein expression assays",2
SVM KD21,BioPlex 2.0,AP-MS,10
SVM KD21,"Boldt et al., 2016",AP-MS,4
SVM KD21,"Gupta et al., 2015",Proximity,10
SVM KD21,"Youn et al., 2018",Proximity,5
SVM KD21,"Treiber et al., 2017; Mallam et al., 2019",RNA-Pulldown,4
SVM KD21,"Kevin et al., 2021",AP-MS,20
AF,BioPlex 3.0,AP-MS,11
AF,FANTOM5,Regulatory gene expression assay,1
AF,GTEx (v7),Tissue-specific gene expression assays,1
AF,"Uhlén et al., 2015",Tissue-specific gene expression assays,1
AF,"Ouyang et al., 2019",Fluorescent microscopy,5
SCBC,"Orre et al., 2019",CF-MS,5
